,campaign_number,user_engagement,banner,placement,displays,clicks,ad_spend_by_company_x,post_click_conversions,post_click_sales_amount
232,camp 1,Low,300 x 250,def,424,3,0.5416,0,0.0
233,camp 1,Low,300 x 250,ghi,216,5,0.9027,0,0.0
234,camp 1,Low,300 x 250,jkl,12,0,0.0,0,0.0
235,camp 1,Low,300 x 250,mno,2745,6,1.0832,0,0.0
236,camp 1,Medium,300 x 250,abc,1,0,0.0,0,0.0
237,camp 1,Medium,300 x 250,def,4324,22,3.9719,2,58.5481
238,camp 1,Medium,300 x 250,ghi,3171,99,17.8739,10,88.1188
239,camp 1,Medium,300 x 250,jkl,230,1,0.1805,1,150.8711
240,camp 1,Medium,300 x 250,mno,23404,142,25.6373,14,520.8722
241,camp 1,High,468 x 60,def,1076,4,0.7221,0,0.0
242,camp 1,High,468 x 60,ghi,350,0,0.0,0,0.0
243,camp 1,High,468 x 60,jkl,9,0,0.0,0,0.0
244,camp 1,High,468 x 60,mno,3432,9,1.6259,17,1808.8476
245,camp 1,Low,468 x 60,def,5,0,0.0,0,0.0
246,camp 1,Low,468 x 60,mno,26,0,0.0,0,0.0
247,camp 1,Medium,468 x 60,def,86,0,0.0,0,0.0
248,camp 1,Medium,468 x 60,ghi,27,0,0.0,0,0.0
249,camp 1,Medium,468 x 60,mno,372,0,0.0,0,0.0
250,camp 1,High,580 x 400,mno,45327,889,160.5044,453,19132.9713
251,camp 1,Low,580 x 400,mno,375,5,0.9027,0,0.0
252,camp 1,Medium,580 x 400,mno,3669,48,8.6661,5,144.5778
253,camp 1,High,670 x 90,def,4491,49,8.8467,30,576.9186
254,camp 1,High,670 x 90,ghi,16534,135,24.3735,99,2985.5434
255,camp 1,High,670 x 90,jkl,274,1,0.1805,0,0.0
256,camp 1,High,670 x 90,mno,16974,146,26.3595,51,2221.0902
257,camp 1,Low,670 x 90,def,39,1,0.1805,0,0.0
258,camp 1,Low,670 x 90,ghi,21,1,0.1805,0,0.0
259,camp 1,Low,670 x 90,mno,155,0,0.0,0,0.0
260,camp 1,Medium,670 x 90,def,418,9,1.6249,0,0.0
261,camp 1,Medium,670 x 90,ghi,995,5,0.9027,0,0.0
262,camp 1,Medium,670 x 90,jkl,29,0,0.0,0,0.0
263,camp 1,Medium,670 x 90,mno,1494,16,2.8887,1,241.2338
264,camp 1,High,728 x 90,abc,13,0,0.0,0,0.0
265,camp 1,High,728 x 90,def,68761,442,79.8017,130,7581.738
266,camp 1,High,728 x 90,ghi,206356,2910,525.3868,1064,47941.3027
267,camp 1,High,728 x 90,jkl,23526,176,31.7759,82,1995.7442
268,camp 1,High,728 x 90,mno,362969,2384,430.4202,912,44394.7214
269,camp 1,Low,728 x 90,def,637,1,0.1805,0,0.0
270,camp 1,Low,728 x 90,ghi,276,4,0.7221,1,218.2788
271,camp 1,Low,728 x 90,jkl,108,0,0.0,0,0.0
272,camp 1,Low,728 x 90,mno,4194,9,1.6249,4,230.4656
273,camp 1,Medium,728 x 90,def,6857,27,4.8747,6,167.133
274,camp 1,Medium,728 x 90,ghi,9083,116,20.9432,18,693.3314
275,camp 1,Medium,728 x 90,jkl,1972,22,3.9719,2,125.6464
276,camp 1,Medium,728 x 90,mno,39528,218,39.3588,42,1589.2214
277,camp 1,High,800 x 250,mno,4,0,0.0,0,0.0
278,camp 2,Low,160 x 600,def,6347,19,0.735,0,0.0
279,camp 2,Low,160 x 600,ghi,99,5,0.1934,0,0.0
280,camp 2,Low,160 x 600,mno,54552,425,16.4424,0,0.0
281,camp 2,Medium,160 x 600,abc,1,0,0.0,0,0.0
282,camp 2,Medium,160 x 600,def,20551,225,8.7048,3,134.3125
283,camp 2,Medium,160 x 600,ghi,2372,42,1.6249,0,0.0
284,camp 2,Medium,160 x 600,mno,189214,4033,156.0297,22,1214.7213
285,camp 2,Low,240 x 400,def,11237,47,1.8185,0,0.0
286,camp 2,Low,240 x 400,ghi,18523,431,16.6746,4,189.1079
287,camp 2,Low,240 x 400,jkl,3967,55,2.1288,1,37.8933
288,camp 2,Low,240 x 400,mno,40040,221,8.5503,3,518.4353
289,camp 2,Medium,240 x 400,def,55529,809,31.2987,4,277.7942
290,camp 2,Medium,240 x 400,ghi,166072,8098,313.3002,128,12831.1765
291,camp 2,Medium,240 x 400,jkl,28532,668,25.8437,8,547.2576
292,camp 2,Medium,240 x 400,mno,172704,2199,85.0746,21,1179.8776
293,camp 2,Low,300 x 250,abc,1,0,0.0,0,0.0
294,camp 2,Low,300 x 250,def,11302,62,2.3986,0,0.0
295,camp 2,Low,300 x 250,ghi,5093,111,4.2943,1,236.4494
296,camp 2,Low,300 x 250,jkl,44,0,0.0,0,0.0
297,camp 2,Low,300 x 250,mno,73880,400,15.4752,2,172.0206
298,camp 2,Medium,300 x 250,abc,8,0,0.0,0,0.0
299,camp 2,Medium,300 x 250,def,36384,424,16.4038,8,671.5113
